run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-9-20240904-20:31:53-25926,param,,,RandomGrid.sink.node_type,0,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.icc.node_type,2,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-18-20240904-20:33:02-25926,runattr,,,configname,General,,,
General-18-20240904-20:33:02-25926,runattr,,,datetime,20240904-20:33:02,,,
General-18-20240904-20:33:02-25926,runattr,,,experiment,General,,,
General-18-20240904-20:33:02-25926,runattr,,,inifile,omnetpp.ini,,,
General-18-20240904-20:33:02-25926,runattr,,,iterationvars,"$0=100, $1=0",,,
General-18-20240904-20:33:02-25926,runattr,,,iterationvarsf,"100,0-",,,
General-18-20240904-20:33:02-25926,runattr,,,measurement,"$0=100, $1=0",,,
General-18-20240904-20:33:02-25926,runattr,,,network,RandomGrid,,,
General-18-20240904-20:33:02-25926,runattr,,,processid,25926,,,
General-18-20240904-20:33:02-25926,runattr,,,repetition,0,,,
General-18-20240904-20:33:02-25926,runattr,,,replication,#0,,,
General-18-20240904-20:33:02-25926,runattr,,,resultdir,results,,,
General-18-20240904-20:33:02-25926,runattr,,,runnumber,18,,,
General-18-20240904-20:33:02-25926,runattr,,,seedset,18,,,
General-18-20240904-20:33:02-25926,param,,,RandomGrid.poweroff_rate,100,,,
General-18-20240904-20:33:02-25926,param,,,RandomGrid.g_syn_scheme,0,,,
General-18-20240904-20:33:02-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-18-20240904-20:33:02-25926,param,,,RandomGrid.g_ic_num,6,,,
General-18-20240904-20:33:02-25926,param,,,RandomGrid.g_energy_model,0,,,
