Time [s],Channel 4,Channel 8
33328.463335360,1,0
33328.564657600,0,0
33331.677620480,0,1
33331.781923680,0,0
33337.789160480,0,1
33337.953496800,0,0
33344.056610880,0,1
33344.223470720,0,0
33353.467546560,0,1
33353.633680160,0,0
33369.142152160,0,1
33369.315726080,0,0
33413.534390720,1,0
33413.534390880,0,0
33508.286665440,1,0
33508.286665600,0,0
33524.029015200,1,0
33524.029015360,0,0
33650.347611840,1,0
33650.347612000,0,0
33764.421983520,1,0
33764.424504960,0,0
33795.512598080,1,0
33795.681550880,0,0
33801.823754720,1,0
33801.992212320,0,0
33805.040918720,0,1
33805.211820160,0,0
33811.312868800,0,1
33811.478807680,0,0
33811.478808480,0,1
33811.478809440,0,0
33814.713864320,0,1
33814.820889920,0,0
33817.874878080,1,0
33817.875611040,0,0
33821.039387200,1,0
33821.040188000,0,0
33824.191004000,1,0
33824.191751040,0,0
33824.225477440,0,1
33824.333920480,0,0
33843.120885760,1,0
33843.121610080,0,0
33849.176058880,1,0
33849.340297120,0,0
33852.088870240,0,1
33852.088870400,0,0
33852.557532000,0,1
33852.560000480,0,0
34250.565621760,1,0
34250.567980320,0,0
34269.150574560,0,1
34269.320319680,0,0
34275.580271040,0,1
34275.941884160,0,0
34281.694450720,0,1
34281.920624480,1,1
34281.992998880,1,0
34282.027255520,0,0
34288.148616480,1,0
34288.253398880,0,0
34294.524563520,0,1
34294.621672800,0,0
34300.788576640,0,1
34300.889653760,0,0
34316.191828480,0,1
34316.460794880,0,0
34736.226280960,1,0
34736.488954880,0,0
34739.653506240,1,0
34739.760246880,0,0
34745.958706720,0,1
34746.070441440,0,0
34755.169585120,1,0
34755.726707520,0,0
34758.346910880,0,1
34758.617844960,0,0
34764.804483200,1,0
34764.916692320,0,0
34770.951005440,1,0
34771.111512480,0,0
34774.284893440,1,0
34774.285751040,0,0
34780.701765280,1,0
34780.702546560,0,0
34786.906255520,1,0
34787.022213280,0,0
34793.048968480,1,0
34793.213596800,0,0
34793.314156800,0,1
34793.316609120,0,0
35200.772188800,1,0
35200.774575200,0,0
35206.603886240,1,0
35206.603886400,0,0
35206.947478080,0,1
35207.075064000,0,0
35210.080115200,0,1
35210.193572160,0,0
35213.274075200,1,0
35213.381432160,0,0
35216.346433280,0,1
35216.445354720,0,0
35222.454308640,0,1
35222.719699200,0,0
35234.999539360,0,1
35235.168225440,0,0
35235.168226400,0,1
35235.168227200,0,0
35241.434017280,0,1
35241.538617760,0,0
35250.676420480,0,1
35250.857525280,0,0
35250.857525920,0,1
35250.857526880,0,0
35266.570334880,1,0
35266.570335040,0,0
35313.933325600,1,0
35313.933325760,0,0
35317.082899520,1,0
35317.082899680,0,0
35427.606947840,1,0
35427.606948000,0,0
35440.214563520,1,0
35440.214563680,0,0
35490.701657280,1,0
35490.701657440,0,0
35544.406785120,1,0
35544.406785280,0,0
35585.438610400,1,0
35585.438610560,0,0
35623.316616480,1,0
35623.316616640,0,0
35635.932559200,1,0
35635.932559360,0,0
35664.622268320,0,1
35664.796031360,0,0
35677.328608800,1,0
35677.429869760,0,0
35683.591913920,0,1
35683.711270560,0,0
35708.524535200,0,1
35708.701745280,0,0
35714.796516960,0,1
35714.957723360,0,0
35718.156195520,1,0
35718.266730880,0,0
35721.436892960,0,1
35721.545841120,0,0
35730.845892960,0,1
35730.948733760,0,0
36153.832765600,0,1
36154.003085760,0,0
36159.982612320,1,0
36159.982612480,0,0
36160.337373600,1,0
36160.437265760,0,0
36169.512512480,0,1
36169.680782720,0,0
36172.643305280,0,1
36172.800255200,0,0
36175.799307520,0,1
36176.061808160,0,0
36182.051344480,0,1
36182.417224480,0,0
36185.462672960,0,1
36185.576763200,0,0
36188.523584800,1,0
36188.626517440,0,0
36191.459235680,0,1
36191.695728480,1,1
36191.696442560,0,1
36191.747586720,0,0
36197.833064160,1,0
36197.997549760,0,0
36200.989789280,1,0
36201.155294880,0,0
36204.028170240,0,1
36204.028170400,0,0
36207.465855200,1,0
36207.570783680,0,0
36210.545043040,0,1
36210.647845760,0,0
36630.491868480,0,1
36630.660352960,0,0
36636.938242240,0,1
36637.051674400,0,0
36640.059533760,0,1
36640.165766400,0,0
36646.108015680,1,0
36646.259800960,0,0
36649.265057760,1,0
36649.427151520,0,0
36655.578918880,0,1
36655.840235840,1,1
36655.842761120,1,0
36655.948826720,0,0
36671.519658720,1,0
36671.520437920,0,0
36680.828605280,1,0
36680.992479520,0,0
36684.178715520,0,1
36684.293159680,0,0
37100.688554880,1,0
37100.964403520,0,0
37110.159103840,1,0
37110.318102400,0,0
37116.560556160,0,1
37116.724976800,0,0
37122.820878400,1,0
37122.820878560,0,0
37126.217908000,1,0
37126.322751840,0,0
37138.514088160,0,1
37138.695204480,0,0
37138.695205440,0,1
37138.695206400,0,0
37144.785449760,0,1
